CASEID,REGION,METRO,MSASIZE,HH_SIZE,FAMINCOME,HH_NUMKIDS,HOUSETYPE,AGEYCHILD,HH_NUMADULTS,AGE,SEX,RACE,HISPAN,GENHEALTH,BMI,EDUC,EDUCYRS,SCHLCOLL,FULLPART,UHRSWORKT,HH_NUMOWNKIDS,PED,SED_EAT,FOODSHOP,SODA,STORE,EXFREQ,FASTFDFREQ,ENOUGHFD,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_HHACT,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_VOL,ACT_WORK,ACT_SLEEPING
2.01E+13,1,2,6,7,15,4,1,4,3,39,2,100,100,NA,NA,32,112,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,210,0,0,80,315,0,0,190,0,0,0,630
2.01E+13,3,3,3,3,5,1,1,14,2,61,1,110,100,NA,NA,21,112,NA,2,20,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,105,150,45,0,770,0,0,0,240
2.01E+13,2,2,5,1,9,0,1,NA,1,60,1,100,100,NA,NA,30,214,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,42,125,15,0,486,0,0,0,300
2.01E+13,1,2,7,1,11,0,1,NA,1,71,1,100,100,NA,NA,21,112,NA,1,65,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,70,0,0,0,0,0,0,1030,320
2.01E+13,3,4,0,4,9,1,1,16,3,16,2,100,100,NA,NA,14,109,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,195,60,185,0,0,10,0,240,0,380
2.01E+13,4,1,3,5,9,3,1,5,2,45,1,100,210,NA,NA,10,101,1,2,7,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,75,30,60,0,480,0,0,0,765
2.01E+13,4,2,3,6,13,4,1,0,2,36,1,100,100,NA,NA,41,319,1,1,45,3,NA,NA,NA,NA,NA,NA,NA,NA,60,0,0,30,35,0,20,273,25,60,473,385
2.01E+13,4,2,5,6,6,4,1,0,2,37,2,100,210,NA,NA,15,110,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,60,0,0,60,450,90,0,135,0,0,0,600
2.01E+13,4,2,4,2,15,0,1,NA,2,62,2,132,100,NA,NA,41,318,NA,1,40,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,75,180,0,0,15,0,0,480,420
2.01E+13,1,2,7,4,16,2,1,5,2,54,1,100,100,2,25.1,40,216,NA,1,45,2,85,150,3,2,1,4,2,1,2,1,0,85,1,40,0,596,0,0,5,590
2.01E+13,3,4,0,1,12,0,1,NA,1,57,2,110,100,2,26.9,40,216,NA,1,50,0,55,15,1,2,1,7,NA,1,0,0,0,55,402,0,55,303,0,0,0,570
2.01E+13,2,1,3,1,12,0,1,NA,1,44,2,110,100,3,21.1,16,111,1,NA,NA,0,15,0,1,NA,1,7,NA,1,0,45,0,15,75,0,0,355,200,0,0,570
2.01E+13,1,1,7,2,9,0,1,NA,2,62,2,100,240,3,26.9,21,112,NA,1,45,0,30,0,1,NA,1,NA,NA,1,0,0,0,30,180,120,0,435,0,0,0,480
2.01E+13,2,4,0,3,9,1,1,9,2,58,1,100,100,2,33.2,21,112,NA,1,50,0,120,0,2,NA,NA,2,2,1,30,0,0,120,0,0,0,15,0,90,490,515
2.01E+13,4,3,2,2,14,0,1,NA,2,55,2,100,100,2,28.3,32,214,NA,1,40,0,25,50,1,2,2,NA,7,1,0,0,0,25,50,35,0,90,0,0,456,545
2.01E+13,4,2,6,1,1,0,1,NA,1,80,2,100,100,NA,NA,21,112,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,60,60,160,80,50,0,120,0,0,0,570
2.01E+13,3,2,4,2,11,0,1,NA,2,75,2,100,100,NA,NA,21,112,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,45,186,0,0,647,0,0,0,510
2.01E+13,2,3,2,4,13,1,1,7,2,36,1,100,100,4,34.2,30,214,1,1,40,1,90,15,2,2,NA,2,1,1,0,0,0,90,60,0,0,630,0,0,0,630
2.01E+13,3,1,5,4,11,0,1,NA,4,58,1,100,100,1,31.8,21,112,NA,1,40,0,25,0,1,NA,3,NA,2,1,0,0,0,25,15,120,0,296,0,0,430,450
2.01E+13,2,2,6,4,14,2,1,0,2,36,1,131,100,2,23.8,41,319,1,1,40,2,135,0,2,1,NA,1,1,1,0,0,0,135,90,0,0,180,30,0,525,450
2.01E+13,3,4,0,2,15,0,1,NA,2,46,2,100,100,4,42.8,30,214,1,NA,NA,0,30,5,1,NA,1,NA,NA,1,0,0,0,30,75,0,0,705,0,0,0,540
